Name,AI Type,Commercial Type,Product,Description,Product Category,Package,Quick Filters,Availability,Identifier,Detail Page
"Smart Grouping","AI Feature","Base","SAP Analytics Cloud","ML clustering‚ groups similar data points in scatter and bubble charts.","Technology Platform","","","Generally Available","J892","https://discovery-center.cloud.sap/ai-feature/793c4da0-4886-4ee0-9c53-0bc2c465a624/"
"Smart Insights","AI Feature","Base","SAP Analytics Cloud","Smart Insights analyzes data deviations‚ providing insights as text and visuals.","Technology Platform","","","Generally Available","J886","https://discovery-center.cloud.sap/ai-feature/9ff17406-6da6-4066-bbb7-2edb8d898dbd/"
"Smart Personalization of My Home","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Personalize your home page by adding insights cards.","Financial Management","Joule Premium for Financial Management","","Generally Available","J226","https://discovery-center.cloud.sap/ai-feature/5205d1ac-b2a1-413b-8d5c-a01e22311cad/"
"Smart Personalization of My Home for Applications","AI Feature","Premium","SAP S/4HANA Cloud Public Edition","Personalize your home page by adding apps.","Financial Management","Joule Premium for Financial Management","","Generally Available","J934","https://discovery-center.cloud.sap/ai-feature/2b5df257-bdfd-4396-a48b-a8362b2e02f7/"
"Smart Predict","AI Feature","Base","SAP Analytics Cloud","Create predictive models‚ deliver accurate predictions for analytics & planning.","Technology Platform","","","Generally Available","J893","https://discovery-center.cloud.sap/ai-feature/3e3dbf93-52e2-4a08-b6f3-58b7396bc445/"
"Smart Scheduling","AI Feature","Premium","SAP CX AI Toolkit","Streamline and optimize your calendar management.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J16","https://discovery-center.cloud.sap/ai-feature/95c190b5-0576-4ec8-afd1-5454d0329702/"
"Smart Solution for Situations in My Home","AI Feature","","SAP S/4HANA Cloud Public Edition","Provide resolution suggestions directly on the homepage.","Financial Management","","","Beta","J181","https://discovery-center.cloud.sap/ai-feature/5a6f7a49-1bbf-4e9b-b2e0-57aad5f2de6d/"
"Smart Summarization","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Jump start your communications or follow-ups by generated text proposals.","Financial Management","","","Generally Available","J90","https://discovery-center.cloud.sap/ai-feature/a66caf9e-90e0-44c3-9f4a-47aa40f6027b/"
"Sourcing Agent","AI Agent","","","Run smarter sourcing events faster and with less effort.","Spend Management","","Featured‚Joule","Beta","J415","https://discovery-center.cloud.sap/ai-feature/944d71fe-90ad-4ef9-894c-878a4a326893/"
"SOW Deliverables Creation","AI Feature","Premium","SAP Fieldglass Services Procurement","Create precise and relevant SOW deliverables based on project scope.","Supplier Management","Joule Premium for Spend Management","","Generally Available","J499","https://discovery-center.cloud.sap/ai-feature/ab95fb1c-6563-45f3-81c3-97e2ae526950/"
"SOW Description Creation","AI Feature","Premium","SAP Fieldglass Services Procurement","Simplify SOW collaboration with AI-enhanced descriptions.","Spend Management","Joule Premium for Spend Management","","Generally Available","J77","https://discovery-center.cloud.sap/ai-feature/05a8ad20-8b56-4279-85ac-94136f8cc4d3/"
"Spend Categorization","AI Feature","Base","SAP Spend Control Tower","Automatically predict UNSPSC hierarchy from spend data using FFN classification.","Technology Platform","","","Generally Available","J155","https://discovery-center.cloud.sap/ai-feature/0c83b1a0-0b73-413a-ae04-4017e4b82a83/"
"Standard Tools","AI Feature","Premium","SAP CX AI Toolkit","Role specific prompts utilizing CX data to generate discovery questions etc.","Customer Relationship Management","Joule Premium for Customer Experience","Joule","Generally Available","J56","https://discovery-center.cloud.sap/ai-feature/7c97317c-5b65-48d4-9288-540f6aca8e8d/"
"Strategy Summarizer","AI Feature","Premium","SAP Ariba Category Management","Generate summaries of category strategy documents.","Spend Management","Joule Premium for Spend Management","","Generally Available","J605","https://discovery-center.cloud.sap/ai-feature/e5329885-d1a9-4fbe-97cd-eea7e62b70c4/"
"Subject Line Generator","AI Feature","Base","SAP Engagement Cloud","Context-driven generation of email subject lines.","Customer Relationship Management","","Featured","Generally Available","J20","https://discovery-center.cloud.sap/ai-feature/69ff31b4-d15f-4b9e-b485-3b9cc3116550/"
"Successor Insights","AI Feature","Premium","SAP SuccessFactors Career and Talent Development","Get insights on candidates to help with succession planning.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J767","https://discovery-center.cloud.sap/ai-feature/c43b18e8-460c-4163-95f1-cc0342299995/"
"Successor Recommendation","AI Feature","Premium","SAP SuccessFactors Succession & Development","View recommended successors based on skills‚ competencies‚ and experience.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J1068","https://discovery-center.cloud.sap/ai-feature/9ec70701-a3c5-4be6-bfc3-e9ff5008d13b/"
"Supplier Confirmation Mass Creation","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Enable mass creation of several supplier confirmations in Joule.","Spend Management","","New‚Joule","Generally Available","J1114","https://discovery-center.cloud.sap/ai-feature/b8dfd079-2d74-417a-ad38-8a5251110a4d/"
"Supplier Delivery Date Mass Update","AI Feature","Base","SAP S/4HANA Cloud Public Edition","Perform mass updates of delivery dates for multiple purchase orders with Joule.","Cloud ERP applications","","Joule","Generally Available","J757","https://discovery-center.cloud.sap/ai-feature/d7b65dad-4fa1-4430-a860-6c8eba5ff8e1/"
"Supplier Delivery Date Prediction","AI Feature","Base","SAP S/4HANA","Predict delivery dates for purchase order items based on historical data.","Cloud ERP applications","","","Generally Available","J848","https://discovery-center.cloud.sap/ai-feature/e0dd79ff-4ed9-4d79-9461-2be67e664a3c/"
"Supplier Delivery Date Prediction","AI Feature","Base","SAP S/4HANA Cloud Private Edition","Predict delivery dates for purchase order items based on historical data.","Cloud ERP applications","","","Generally Available","J811","https://discovery-center.cloud.sap/ai-feature/c264b09d-42ca-4256-8d8e-0da5af6c838a/"
"Supplier Invoice File Extraction","AI Feature","Base","SAP Ariba Invoicing","Enhance data extraction accuracy for complex invoice layouts.","Spend Management","","","Generally Available","J843","https://discovery-center.cloud.sap/ai-feature/5d5fda3a-7fcc-49b2-b997-54813c31bfed/"
"Supplier Matching","AI Feature","Base","SAP Spend Control Tower","Match‚ enrich‚ and validate supplier data for accurate reporting.","Technology Platform","","","Generally Available","J156","https://discovery-center.cloud.sap/ai-feature/efc4ab1c-a634-4a15-a4be-3d6871487e9b/"
"Supplier Prediction","AI Feature","Base","SAP Ariba Sourcing","Suggests suppliers for guided sourcing events based on past similar events.","Spend Management","","","Generally Available","J842","https://discovery-center.cloud.sap/ai-feature/1fe463ff-29c7-4fe9-83f4-23a9ab36bca6/"
"Supply Optimization Analysis","AI Feature","Premium","SAP Integrated Business Planning","Summarize insights‚ analyze‚ explain the time-series optimization planning run.","Supply Chain Management","Joule Premium for Supply Chain Management","Joule","Generally Available","J175","https://discovery-center.cloud.sap/ai-feature/e29ae1ce-a444-4d21-a0a6-f75fec40ca32/"
"Survey Trend Summary","AI Feature","Premium","SAP Sales Cloud Version 2","Provide contextual guidance on improving the sales representative’s store visits","Customer Relationship Management","Joule Premium for Customer Experience","","Generally Available","J60","https://discovery-center.cloud.sap/ai-feature/be5a87ca-9bc3-48d6-ae9c-b7b2bc9a2d2a/"
"Team Goals","AI Feature","Premium","SAP SuccessFactors Performance and Goals","Build meaningful and inspiring team goals.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J274","https://discovery-center.cloud.sap/ai-feature/60263926-2bb3-4e38-b7bc-15a0d9b4004b/"
"Tender Analysis Agent","AI Agent","Premium","","Draft quotes to boost sales efficiency and increase revenue with an agent.","Financial Management","","Featured","Generally Available","J314","https://discovery-center.cloud.sap/ai-feature/9827c197-bed1-4b64-9381-379d5458bc2a/"
"Text Analyzer","AI Feature","Premium","SAP SuccessFactors solutions","Analyze content within supported text areas for bias‚ safety‚ and responsibility","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J768","https://discovery-center.cloud.sap/ai-feature/84324196-d27c-419b-ab13-10bfd6deddb8/"
"Transformation Advisory‚ Initiative Builder","AI Feature","Base","SAP Signavio solutions","Identify strategy-aligned opportunities and accelerate transformation execution.","Business Transformation Management","","","Generally Available","J967","https://discovery-center.cloud.sap/ai-feature/9ced0e83-412a-4e06-beda-6ef81e4bce95/"
"Translation Support","AI Feature","Base","SAP LeanIX solutions","Help users translate customized technical terms.","Technology Platform","","","Generally Available","J48","https://discovery-center.cloud.sap/ai-feature/6719d6d7-fda7-4ea9-b0dd-43b99fbab6b6/"
"UI Generation from Data","AI Feature","Base","SAP Build Apps","Automatically generate pages based on integrated data entities.","Technology Platform","","","Generally Available","J193","https://discovery-center.cloud.sap/ai-feature/691b7e82-b4ee-41f2-aae3-43b5b81be6f6/"
"Unified Demand Forecast Component","AI Feature","Base","SAP Customer Activity Repository","Forecast consumer demand for products.","Customer Relationship Management","","","Generally Available","J1404","https://discovery-center.cloud.sap/ai-feature/a23536c8-ea76-4b16-97af-91cd8128f129/"
"User Learning and Change Management","AI Feature","Premium","SAP Micro-App Hub","Accelerate adoption & reduce costs with AI for user learning lifecycle.","Technology Platform","","","Early Adopter Care (EAC)","J393","https://discovery-center.cloud.sap/ai-feature/f5849de1-7fb6-4849-84a6-a6bec610db33/"
"Utilities Customer Self-Service Agent","AI Agent","Premium","","Reduce customer service costs and improve customer satisfaction.","Supply Chain Management","","Featured","Generally Available","J395","https://discovery-center.cloud.sap/ai-feature/d8258905-a4d1-4c01-8dcb-0ca1a6c3800d/"
"Value Case Creation Agent","AI Agent","","","Turn process insights into actionable value cases in SAP Signavio.","Business Transformation Management","","Joule","Beta","J1131","https://discovery-center.cloud.sap/ai-feature/e5f8f643-4dc9-46d4-96e6-15d73187869a/"
"Verify","AI Feature","Base","Concur Expense","Check expense reports to identify errors and compliance issues.","Spend Management","","","Generally Available","J840","https://discovery-center.cloud.sap/ai-feature/e09f662e-cec3-404d-b98c-f83fe6174310/"
"Visual Inspection","AI Feature","Base","SAP Asset Performance Management","Monitor asset conditions from visual inspections.","Supply Chain Management","","","Generally Available","J168","https://discovery-center.cloud.sap/ai-feature/63024b68-9658-4758-8086-837e1334c3aa/"
"Visual Search","AI Feature","Premium","SAP CX AI Toolkit","Find products in your catalog that match an uploaded image.","Customer Relationship Management","","Joule","Generally Available","J10","https://discovery-center.cloud.sap/ai-feature/4a375760-55ec-45ab-9642-37ac252a59a6/"
"Workspace","AI Feature","Premium","SAP Document AI","Configure‚ manage‚ and analyze SAP Document AI schemas‚ channels and workflows.","Technology Platform","","","Generally Available","J924","https://discovery-center.cloud.sap/ai-feature/41b32187-96c9-4780-aa15-fc3cdfac1006/"
"Workspace Administration Agent","AI Agent","","","Onboard new process experts quickly in SAP Signavio.","Business Transformation Management","","Joule","Beta","J1129","https://discovery-center.cloud.sap/ai-feature/d8e34c50-6983-4129-aa44-3356bf2fb4bf/"
"Writing - translation","AI Feature","Premium","SAP SuccessFactors solutions","Translate written content in supported text areas.","Human Capital Management","Joule Premium for Human Capital Management","","Generally Available","J138","https://discovery-center.cloud.sap/ai-feature/56f727c9-1bb9-4b39-91c6-1928e855ce99/"
